 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1605/0547,Commercial,Department Stores,1605,05/09/2016,18:21|18:22|18:22|18:22,11|Telephone direct|Telephone|T,Store Alight,Markhams,,MAIN ROAD,SOMERSET WEST,HELDERBERG,114,CT/72,,,,F=SWT,02:16|02:12|02:12,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,20 - 25 Deg,"Archive Material Consisting Of Books, Boxes And Till Paper Rolls",Average Structural Fire,Security Tried To Extinguish With One 4.5kg Dcp And Hose Reel,Extinguished With One Fog Jet From E50a Backed Up By Street Hydrant.,"Hose Reel, Ladder, Crowbar And Torches",Arson,Arson By Open Flame,6000,,MP|SH,,"Ceiling, Walls, Electrical Wiring And Documentation",Entyre Contence Of The Shop,"Clothes,Floors,Ceilingand Dry Walls",At Rear Door To Ventilate,,,,,,,,,,,,1,,,East,Somerset West|Strand,Category 2|Shops (<250 M2),1,Nil,Nil,FOUR SHOPS IN SAME BUILDING AND NEIBOURING BIULDING,N,,,,,,,,,,,,,,,,521|Clothing store.,51|Sales use.,11|Grade level.,1|TYPE I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527238053
F1605/0563,Commercial,Other,1605,05/10/2016,03:01|03:02|03:02|03:02,11|Telephone direct|Telephone|T,Shacks Alight,,,SPINE ROAD,KHAYELITSHA,TYGERBERG,92,CP/54,,Lansdowne,,F=KYA,00:48|00:46|00:33,Fire - manually extinguished,Commercial|Shops,Clear,Nil,10 - 15 Deg,Plastic Garden Funiture Tables And Chairs Ect,Minor Structural Fire,,Extinguished Fire With Water Using One Fog Jet From E18,One Fog Jet (31min) Ppv (5min) Jaws (10min),Other,Braai Fire Not Properly Extinguished Before Putting Braai Away In Structure,500,,MP,12:31:00 AM,Building: Minor By Fire Heat Smoke And Water. Contents: Consisting Of Household Funiture And Cooking Equipment Sever By Fire Heat Smoke And Water.,,,Forced Entry Through Metal Roller Shutter Doors With Jaws,,,,,,,,,,,,1,,,East,Khayelitsha|Lansdowne|Mitchells Plain,Category 2|Commercial (Low Risk),,,,8,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526114833
F1605/0565,Commercial,Shop,1605,05/10/2016,05:45|05:49|05:49|05:49,11|Telephone direct|Telephone|T,Smoke Issuing,Lunchtime Shop,,CHRISTOPHER STARKE STREET,ATLANTIS INDUSTRIA,ATLANTIS,200(14TH EDITION),AK/30,,,,F=ATS,00:06|00:04|00:05|00:04,Fire - manually extinguished,Commercial|Shops,Overcast,Moderate,0 - 10 Deg,Chip Fryer,False Alarm,Extinguished By Owner,Nil,Nil,Electrical Faults,Unknown,,,,,,,,,,,,,,,,,,,,,,,North,Atlantis,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527400525
F1605/0581,Commercial,Offices,1605,05/10/2016,16:10|16:11|16:11|16:11,"13|Direct 107""|Direct ""107"" call|D""",Smoke Coming From Roof Inside Absa Building,"14,",,STRAND ROAD,BELLVILLE,TYGERBERG,40 / 88 (14TH ED),BY/50,,Bill Bezuidenhout,,F=BVL,00:24|00:20|00:33,Fire - manually extinguished,Commercial|Offices,Fine,Nil,15 - 20 Deg,Insulation,Minor Structural Fire,The Fire Burned Itself Out,Investigated And Made Area Safe,1 X Thermal Camera And 1 X Short Extension Ladder.,Electrical Faults,Suspected Electrical Wiring Short Circuiting And Igniting Insulation Wire.,,,,,"1 X Light Fitting Damaged By Fire, Heat And Smoke",,,,,,,,,,,,,,,1,,,North,Bellville|Kraaifontein,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526402518
F1605/0614,Commercial,Shop,1605,05/11/2016,06:35|06:36|06:36|06:36,11|Telephone direct|Telephone|T,Smoke Issuing,GARDENS CENTRE,,MILL STREET,GARDENS,CAPE TOWN,26,CC/23,,UPPER BUITENKANT STREET,,F=RDS,00:26|00:26|00:25,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,0 - 10 Deg,Insulation Of Elecrical Wiring,Minor Structural Fire,Owner Isolated Power Supply,Inspected Roof Void And Stood By To Make Area Safe,1 X Thermal Imaging Camera,Electrical Faults,Short Circuit Of Electrical Wiring Overheating And Igniting Insulation,,,,,"Small Deli Located Inside Shopping Complex .3 X Downlights Slight By Fire, Remainder Of Store Slight By Smoke Only",,,,,,,,,,,,,,,,,,West,Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527260840
F1605/0654,Commercial,Shop,1605,05/11/2016,19:02|19:04|19:04|19:04,11|Telephone direct|Telephone|T,Bakery Alight,Unit 19,Freedom Bakery,DE WAAL ROAD (M38),DIEPRIVER,SOUTH PENINSULA,86,CP/29,,,WARD 73 ( SC 20 ),F=LKE,00:43|00:19|00:43,Fire - manually extinguished,Commercial|Shops,Clear,Light Breeze,15 - 20 Deg,Rusks In Commercial Oven,Minor Structural Fire,Fire Extinguished By Care Taker With Dcp And Co2 Fire Extinguisher.,Made Sure Area Was Safe.,,Heating,Stove Left Switched On Overheating Rusks And Igniting Same.,,,,,"First Floor: Bakery;ceiling, Walls, Windows And Floor Slight By Heat And Smoke Only.Remainder Of Building Nil.Contents ; One Industrial Oven Severe By Fire Heat And Smoke.",,,,,,,,,,,,,,1,,,,West,Lakeside|Wynberg,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526244585
F1605/0661,Commercial,Garage/Workshop,1605,05/11/2016,22:38|22:39|22:39|22:39,11|Telephone direct|Telephone|T,Workshop Alight,"8,",,HAMMOND STREET,STRAND,HELDERBERG,174,CZ/73,,,,F=SND,00:49|00:07|00:49|00:46|00:40|00:00|00:31,Fire - manually extinguished,Commercial|Garages & Workshops,Fine,Nil,15 - 20 Deg,Insulation In Electrical Wiring.,Minor Vegetation Fire,,Extinguished With One Jet From E27 Motor Pump (7050 Litres).,"4 X 45mm Fire Hose, 1 X Akron Branch, 1 X Scba Set (15 Minutes).",Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation.,7050,,MP|WT,12:20:00 AM,"Building: Mezzanine Section Used As Sleeping Quarters: Roof, Walls, Windows, Door And Floor Severe By Fire, Heat, Smoke And Water.|Contents: Contents Consisting Of Household Appliances And Personal Effects, Etc, Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,1,1,,,East,Strand|Somerset West|Macassar|Khayelitsha,Category 2|Industrial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527759395
F1605/0729,Commercial,Shop,1605,05/13/2016,14:03|14:05|14:05|14:05,"13|Direct 107""|Direct ""107"" call|D""",Shop Alight,Bargain Store,Shop No.2,KESTREL WAY,MONTAGU'S GIFT,SOUTH PENINSULA,15TH EDITION PG-141,CO-32/33,,BLACKBIRD,,F=OTY,00:24|00:11|00:13,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,15 - 20 Deg,Insulation Of Electrical Wiring,Minor Structural Fire,Extinguished By Occupiers With Dry Chemical Powder Extinguishers,Brigade Ventilated Using A Positive Pressure Ventilator,1 X Positive Pressure Ventilator,Electrical Faults,Short Circuit In Electrical Wiring Igniting Insulation,,,,,"Building:brick And Concrete Building. Shop At Front: A Section Of Ceiling, Wall And Floor Severe By Fire, Heat, Smoke And Water. Remainder Of Building Slight By Smoke.|Contents Consisting Of Croceries And Consumables, Cold Drinks And Personal Effects Etc Severe By Heat And Smoke",,,,,,,,,,,,,,1,,,,West,Ottery|Lakeside,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526556337
F1605/0852,Commercial,Offices,1605,05/15/2016,10:13|10:15|10:15|10:15,11|Telephone direct|Telephone|T,Smoke Issuing And Strong Smell Of Smoke,TABLE BAY HARBOUR SAPS,,DUNCAN ROAD,CAPE TOWN,CAPE TOWN,34,BZ/23,,SOUTH ARM ROAD,DOCKKS,F=RDS,00:31|00:32|00:38|00:33,False Alarm - Good Intent,Other|Miscellaneous Fires,,,,,False Alarm,,Investigate Smell Of Smoke,T.I.Camera,Undetermined,Undertermined,,,,,,,,,,,,,,,,,,,1,,,,West,Roeland Street,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526556877
F1605/0873,Commercial,Shop,1605,05/15/2016,14:28|14:29|14:29|14:30,11|Telephone direct|Telephone|T,Shop Alight,Twin Palms Laundry,Twin Palms Shopping Centre,C/O Broadway Boulevard And Altena Road,STRAND,HELDERBERG,174(14TH & 15TH ED),CY/73,,,,F=SND,00:27|00:28|00:31|00:36|00:25,Fire - manually extinguished,Commercial|Shops,Clear,Nil,20 - 25 Deg,"Ironing Board, Clothing, Furniture.",Minor Structural Fire,,Fire Was Extinguished With 1 X Fogjet From E27(200).,"1 X Hosereel, 3 X B.A.Sets, 1 X P.P.V. And Thermal Imaging Camera.",Heating,A Switched On Electrical Iron Was Left Unattended On Ironing Board And Ignited Cloth.,200,,MP,12:07:00 AM,"Electrical Iron, Ironing Board, Furniture Next To Ironing Board Severe By Fire, Heat, Smoke And Water.",Entire Shop Incuding All Clothing Slight By Smoke.,,No,,,,,,,,,,,1,1,,,East,Strand|Somerset West,Category 2|Shops (<250 M2),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526636154
F1605/1173,Commercial,Shop,1605,05/20/2016,23:10|23:12|23:12|23:12,11|Telephone direct|Telephone|T,Fryer Alight,BLUE DOWNS SHOPPING CENTRE,Kentucky Fried Chicken,HINDLE ROAD,BLUE DOWNS,BLUE DOWNS,127 (14TH EDITION),CJ/55,,EERSRIV WAY,,F=MFU,01:06|00:35|00:34|01:08,Fire - manually extinguished,Commercial|Restaurants & Cafes,Fine,Light Breeze,10 - 15 Deg,Oil From One Of The Chipp Fryer Overheated,Minor Structural Fire,The Fire Blanket Was Used By Employees To Cover The Fryer,"Isolated The Fryer From The Electrical Plugs, Cooled The Fryer With One Pack Of 5 X Kg Uncooked Potatoe Chips And Removed The Fyeraway From The Kitchen To Let It Cooldown|Used A Ppv To Ventilate The Shop",1 X Ppv And 2 X Ba Sets,Cooking,Overheated Oil In The Fryer,,,,,,,,,,,,,,,,,,,,,,,East,Mfuleni|Kuilsrivier|Belhar,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527862827
F1605/1191,Commercial,Offices,1605,05/21/2016,07:58|08:00|08:00|08:00,"13|Direct 107""|Direct ""107"" call|D""",Smoke Issuing From Vent In Office On Second Floor,"Nr.12,",,LOOP STREET,CENTRAL,CAPE TOWN,25/26,"CA,CB/22-CA/23",,,,F=RDS,00:22|00:20|00:24|00:23,Fire - manually extinguished,Commercial|Offices,Fine,Light Breeze,15 - 20 Deg,Electrical Capacitor In Overhead Light Fitting.,Minor Structural Fire,Nil.,Switched Of Electrical Switch On D.V Board And Check If Area Is Safe.,Nil.,Electrical Faults,Faulty Electrical Capacitor.,,,,,1 X Electrical Capacitor Severe By Heat And Smoke.,,,,,,,,,,,,,,,,,,West,Roeland Street|Milnerton,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528812626
F1604/0003,Commercial,Garage/Workshop,1604,04/01/2016,02:46|02:48|02:48|02:48,11|Telephone direct|Telephone|T,Warehouse Alight - Boats Stored In Warehouse - As Per Caller,713,,OLIEBOOM ROAD,SCHAAP KRAAL,CAPE TOWN,80,"CQ,CP/37,38",,Varkensvlei Road,,F=MPN,01:07|00:25|00:24|00:53,Fire - manually extinguished,Commercial|Garages & Workshops,Fine,Light Breeze,15 - 20 Deg,Entire Storage Area And Contents,Average Structural Fire,Nil,Extinguished With 1 Fog Jet,1 X Hose Reel,Open Flames,Suspected Candle Overturning Ignitting Contents,7200,,MP|WT,01:00:00 AM,Entire Workshop And Contents Destroyed By Fire,,,,,,,,,,,,,,,1,,,West,Ottery|Mitchells Plain,Category 2|Commercial (Low Risk),1,Nil,Nil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523363209
F1605/1269,Commercial,Other,1605,05/22/2016,08:21|08:22|08:22|08:22,11|Telephone direct|Telephone|T,Shop Alight,No.1512,,WASHINGTON STREET,LANGA,CAPE TOWN,103(14TH EDITION),CD/35-36-37,,,,F=EPG,01:26|02:07|01:17|01:53|01:31|00:40|00:43|00:12,Fire - manually extinguished,Commercial|Shops,Clear,Light Breeze,20 - 25 Deg,"Structural Materials, Furniture, Machinery Components, Materials, Tools And Accessories Etc.",Minor Structural Fire,Nil.,Extinguished With Two Jets From E13 M/Pump And Ventilated Premises.,"4 X 65mm, 2 X 45mm Hose, 2 X Akron Branches, 4 X S.C.B.A Sets(20min), P.P.V(20min), Ceiling Hook, Carborundem Cutter, T.I.C, Short Extension Ladder, Sledge Hammer, Standpipe And Keys.",Electrical Faults,Short Circuit In Electrical Wiring Overheating Igniting Insulation.,24080,,MP|SH|WT,12:20:00 AM,"Building: Roof, Roofing Timbers, Ceiling, Walls, Doors And Floor Severe By Fire, Heay, Smoke And Water. Remainder Slight By Heat, Smoke And Water Only.|Contents: Contents Consisting Of Furniture Appliances, Upholstery Materials, Tools, Machinery And Accessories Etc.Severe By Fire , Heat, Smoke And Water. Remainder Severe By Heat, Smoke And Water Only. As A Result Of This Fire Further Property Was Affected, See Remarks For Details;",,,Safety Gate Hinges Cut And Door Forced To Gain Access To No.1513.,,,,,,,,,,,1,1,,,North,Epping|Milnerton,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527839800
F1605/1363,Commercial,Garage/Workshop,1605,05/24/2016,02:58|02:59|02:59|03:00,11|Telephone direct|Telephone|T,Garage Alight,,,PHAKAMANI ROAD,KHAYELITSHA,TYGERBERG,92,CP52,,Spine,,F=KYA,01:03|01:01|01:02|00:05|01:01|00:56,Fire - manually extinguished,Commercial|Garages & Workshops,Raining,Light Breeze,15 - 20 Deg,"Entire Structure And Contents Consisting Of Bed, Bedding, Personel Effects, Spray Painting Equipment, Welding Equipment Etc And Hyaudia Truck (Cem201153)Severe By Fire, Heat, Smoke And Water",Minor Structural Fire,,Extinguished With Two Jets From E18 Motor Pump,2 X 45m And 4 X 65m Hose,Undetermined,Suspected Incidiarism,11280,,MP|SH|WT,12:20:00 AM,"Entire Structure And Contents Consisting Of Bed, Bedding, Personel Effects Etc, Welding, Spray Painting Equipment And Hyaudia Truck Cem 201153 Etc Severe By Fire, Heat, Smoke Andwater.",,,,,,,,,,,,,,1,1,,,East,Khayelitsha|Lansdowne|Mitchells Plain,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529352634
F1605/1563,Commercial,Shop,1605,05/27/2016,20:30|20:32|20:32|20:32,"13|Direct 107""|Direct ""107"" call|D""",Smoke Issuing From The Cash Office At USAVE,"51, - USAVE STORE",,KOEBERG ROAD|M . 5,BROOKLYN,BLAAUWBERG,84(14TH EDITION),BZ/31,,,,F=BKN,00:27|00:14|00:40,False Alarm - Good Intent,N/A,,,,,False Alarm,,Investigated Area,Nil,N/A,False Alarm With Good Intent Due To Activation Of Smoke Detector By Leaking Aircon Refridgerant,,,,,,,,,,,,,,,,,,,,,,,North,Brooklyn|Milnerton|Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1605/1626,Commercial,Restaurant/Cafe,1605,05/28/2016,22:05|22:07|22:07|22:07,11|Telephone direct|Telephone|T,Sushi Shop Alight,,,MAIN ROAD,SOMERSET WEST,HELDERBERG,114,CT/72,,Victoria Road,,F=SWT,00:37|00:13|00:14,Fire - manually extinguished,Commercial|Restaurants & Cafes,Fine,Nil,15 - 20 Deg,Cooking Oil,Minor Structural Fire,Fire Was Extinguished By Staff.,Investigate And Found Area Safe,,Heating,Heat From Deep Frier Burst Water Pipe,0,,,,"Deef Frier, Water Pipe And Tiles","Walls,Ceiling And Microwafe",,,,,,,,,,,,,1,,,,East,Somerset West,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527883759
F1605/1772,Commercial,Shop,1605,05/31/2016,03:05|03:07|03:07|03:08,11|Telephone direct|Telephone|T,Explosion Took Place,Sasol Garage,,Eersterivier,Bluedowns,Tygerbeerg,,,,Hindle,,F=MFU,00:40|00:43|00:42,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,15 - 20 Deg,An Explosion Took Place,Miscellaneous,Large Area Cordoned Off By Saps,Nil,Nil,Arson,Suspected Explosion,,,,,,,,,,,,,,,,,,,1,,,,East,Belhar|Kuilsrivier|Lansdowne,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528110493
F1604/0358,Commercial,Other,1604,04/07/2016,04:07|04:09|04:09|04:09,11|Telephone direct|Telephone|T,Smoke Issuing,Allenby Scrap Metal,,TIDE STREET,WOODSTOCK,CAPE TOWN,83(14TH EDITION),CA/27,,,,F=SLR,00:51|00:43|00:41,Fire - manually extinguished,Commercial|Offices,Clear,Strong,15 - 20 Deg,Rubbish.,Rubbish Fire,,Extinguished Fire With One Fog Jet From E42a M/P.,1 X Hose Reel And 1 X Short Extention Ladder.,Smoking,Vagrants Inside Building Dropping A Cigarette.,1200,,MP,12:10:00 AM,Small Quantity Of Rubbish Burned Inside Building.,,,,,,,,,,,,,,,1,,,West,Salt River|Roeland Street,Category 2|Rubbish,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523637472
F1606/0122,Commercial,Shop,1606,06/03/2016,07:45|07:47|07:47|07:47,11|Telephone direct|Telephone|T,Pick N Pay Alight - Lower Level - Entrance 4,CANAL WALK,,CENTURY BOULEVARD,SANDDRIFT,BLAAUWBERG,57,BW;BX/34,,RATANGA ROAD,CENTURY CITY,F=MIL,00:43|00:26|00:27,Fire - manually extinguished,Commercial|Shops,Clear,Moderate,15 - 20 Deg,Insulation Of Electrical Wiring,Minor Structural Fire,Extinguished By Occupants With Dcp Extinguisher,Nothing In Use,Nil,Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation,,,,,Electrical Wires Burnt,,,,,,,,,,,,,,,1,,,North,Milnerton|Brooklyn,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528188995
F1606/0134,Commercial,Garage/Workshop,1606,06/03/2016,12:55|12:58|12:58|12:58,11|Telephone direct|Telephone|T,Factory Alight,Isolite,,GARRETT STREET,PAROW INDUSTRIA,TYGERBERG,87,CB/46,,Junction Street,,F=BHR,00:24|00:10|00:23|00:16|00:17,Fire - automatically extinguished,Industry|Paper & Packaging,Fine,Light Breeze,15 - 20 Deg,Electric Motor,Miscellaneous,Fire Was Extinghuised By Factory Workers Using A Number Of Dry Powder Extinghuisers,No Service Rendered,Nil,Electrical Faults,Electrical Faulty,,,,,Large 3-Phase Electrical Motor In Compressor And Electrical Wiring Damaged By Fire,,,No,,,,,,,,,,,1,,,,East,Bellville|Belhar,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528233010
F1606/0189,Commercial,Garage/Workshop,1606,06/04/2016,10:06|10:09|10:09|10:09,11|Telephone direct|Telephone|T,Wires Alight Inside Building,Fiat Dealers,,VAN RIEBEECK ROAD (R102),KUILSRIVIER,OOSTENBERG,,,,Botha Street,,F=KLR,00:31|00:20|00:00|00:46,Fire - manually extinguished,Commercial|Department Stores,Clear,Light Breeze,15 - 20 Deg,Electrical Wiring On Light Fitting.,Minor Structural Fire,Lights Were Switched Of By Workers.,Ensure Area Are Safe.,,Electrical Faults,Suspected Electrical Fault On Wiring,,,,,Structure:office At Rear:light Fitting Damage By Heat.,,,,,,,,,,,,,,,,,,East,Kuilsrivier|Bellville|Mitchells Plain,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528293054
F1604/0380,Commercial,Offices,1604,04/07/2016,11:01|11:04|11:04|11:04,11|Telephone direct|Telephone|T,Smoke Issuing From Building,#6,,Russel Street,Woodstock,CAPE TOWN,,,,RUSSEL STREET,,F=RDS,00:26|00:09|00:04|00:30,False Alarm - Good Intent,Commercial|Offices,,,,,False Alarm,,,,,FAGI Due To Dust Form Workers Sanding Wooden Floors Being Mistaken For Building Alight,,,,,,,,,,,,,,,,,,,1,,,,West,Sea Point,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523352125
F1604/0385,Commercial,Other,1604,04/07/2016,13:14|13:16|13:16|13:16,11|Telephone direct|Telephone|T,Smoke Isuing - Querry Building Alight,,,ALLEN WAY,ELFINDALE,SOUTH PENINSULA,140(14TH & 15TH ED),CQ/30,,,WARD 72 ( SC 20 ),F=LKE,00:12|00:12|00:39|00:53,False Alarm - Good Intent,Commercial|Offices,,,,,False Alarm,,Nil,,,False Alarm With Good Intent,,,,,,,,,,,,,,,,,,,1,,,,West,Wynberg|Lakeside|Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1606/0266,Commercial,Shop,1606,06/05/2016,02:36|02:37|02:37|02:38,11|Telephone direct|Telephone|T,Shop Alight,,,FRANKFORT STREET,PAROW,TYGERBERG,25/38,BX;BY/42,,Voortrekker Road,,F=GWD,00:45|00:11|00:18|00:18,Fire - manually extinguished,Other|Miscellaneous Fires,,,,,,,,,Arson,,,,,,,,,,,,,,,,,,,,,,,,North,Bellville|Goodwood,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528626789
F1606/0452,Commercial,Shop,1606,06/08/2016,12:24|12:25|12:25|12:25,11|Telephone direct|Telephone|T,Shop Alight,Promenade Shopping Centre,,CAMPS BAY DRIVE,CAMPS BAY,CAPE TOWN,98(14TH EDITION),CD/CF/18/20,,Victoria,WARD 74 ( SC 16 ),F=SPT,01:01|01:10|00:47,False Alarm - Good Intent,N/A,,,,,False Alarm,,,,,False Alarm With Good Intent To To Smoke From Pizza Oven Fire Extracting Through Extractor Fan Being Mistaken For A Building Alight.,,,,,,,,,,,,,,,,,,,,,,,West,Sea Point|Roeland Street|Hout Bay,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528655168
F1606/0578,Commercial,Restaurant/Cafe,1606,06/11/2016,08:38|08:42|08:42|08:42,"13|Direct 107""|Direct ""107"" call|D""",Kitchen Alight,"110,",,KLOOF STREET,GARDENS,CAPE TOWN,25,CB/22,,Camp Street,,F=RDS,00:19|00:20|00:33|00:02,Fire - manually extinguished,Commercial|Restaurants & Cafes,Fine,Light Breeze,10 - 15 Deg,Cooking Oil In Fryer,Minor Structural Fire,Occupants Extinguished Fire Using 1 X Dcp Extinguisher Before Arrival Of Brigade.,Stood By To Make Area Safe,Nil,Cooking,Oil In Chip Fryer Overheating And Igniting,,,,,1 X Chip Fryer Slight By Fire.Heat And Smoke,,,,,,,,,,,,,,,,,,West,Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529523148
