,,,,,,,,,,,,,,,,,,,,,,,,,
"*** Query Name:Query 1 ***

    Start Date : 10/1/2016 12:00:00 AM
30003653,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/15/2016 6:08:07 PM,,KOEBERG ROAD,MILNERTON,Special Service,,,,,,,,,,,,,,,,,,West
30003654,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/15/2016 6:29:48 PM,mew way,JEFF MASEMOLA ROAD,MXOLISI PHETANI,Special Service,,,,,1 X Adult male(Yellow) was a victim of a Hit and Run incident.,,,,,,,,,,,,,East
30003655,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/15/2016 6:47:41 PM,60,LION STREET,SCHOTSCHEKLOOF,False Alarm - Good Intent,,,,,Persons absconded,,,,,,,,,,,,,West
30003656,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/15/2016 6:58:27 PM,,NASTERGAL CRESCENT,ROOSENDAL,,,,,,,,,,,,,,,,,,,
30003657,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/15/2016 6:59:58 PM,,GASELA STREET,GUGULETU,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,Extinguished by occupants with buckets of water,,,,0,,"Wood & Iron Structure: Entire structure and contents consisting of clothing and furniture severe by fire, heat, smoke and water.","2,000","5,000",1,1,Mrs Edith Jacobs,,East
30003658,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/15/2016 7:23:37 PM,93,HELDERSIG WEG,THORNTON,False Alarm - Good Intent,,,,,"False alarm with good intent due to a brazier fire being mistaken for vegetation alight.
I further report E30A correct crew as below:
S.Riddle(officer), S.Berghoff, S.Tokota, D.Van Staden, P.Jam-Jam.",,,,,,,,,,,,,North
30003659,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FLATS,10/15/2016 7:27:30 PM,,MAIN ROAD,RONDEBOSCH,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Fine,Occupiers tried to extinguish fire with internal hosereel,,,,,,,,,2,8,Mr Jackerry Digs (0832827042),Mathew Harper\Murray Long,
30003660,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/15/2016 7:37:03 PM,,FABRIEK ROAD,KUILSRIVIER INDUSTRIA,Special Service,,,,,,,,,,,,,,,,,,
30003661,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/15/2016 7:54:07 PM,5,JOHN RAMSAY ROAD,CAPE TOWN AIRPORT,Fire manually extinguished,,,,,,0 - 5 min,,,500,,,0,0,,,,,East
30003662,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/15/2016 8:05:17 PM,14,SUNRISE ROAD,PINELANDS,Fire manually extinguished,,15 - 20 Deg,Moderate,Clear,,0 - 5 min,,625Kpa 19mm Nozzle,0,,,0,0,,,Cornelis Van Heyningen,,North
30003663,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FLATS,10/15/2016 8:15:18 PM,,JOPIE FOURIE STREET,KLIPKOP,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Fine,residence of block contained fire with first aid reel,10 - 15 min,,625Kpa 13mm Nozzle,400,,,0,0,3,,parkwood place proprietary limited monte vista boulevard 20 monte vista 7460,,North
30003664,OTHER FIRE,OTHER FIRE - MISCELLANEOUS FIRES,10/15/2016 8:30:40 PM,,TANDAZO DRIVE,VICTORIA MXENGE,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,East
30003665,OTHER FIRE,OTHER FIRE - MISCELLANEOUS FIRES,10/15/2016 9:17:58 PM,,FABRIEK ROAD,KUILSRIVIER INDUSTRIA,Fire manually extinguished,,15 - 20 Deg,Moderate,Overcast,NONE,,,,,,,0,0,,,SA SPOORPENDELKOPARASIE,,
30003666,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/15/2016 9:33:47 PM,,N2,DRIFTSANDS,,,,,,,,,,,,,,,,,,,
30003667,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/15/2016 10:10:03 PM,,NEWFIELDS ROAD,NEWFIELDS,Special Service,,,,,"two motor vehicles collided. one adult male trapped. Metro Ambulance 120, ER24,.Metro 5 and 3 and traffic on scene.",,,,,,,0,0,,,,,West
30003668,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/15/2016 10:10:08 PM,,BLAAUWBERG ROAD,TABLE VIEW,Special Service,,,,," Two motor vehicles collided, no persons trapped.5 persons sustained injuries, 1 female condition yellow, two adult females green and two adult males green. Metro ambulance 27 was in attendance.",,,,,,,,,,,,,North
30003669,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/15/2016 10:20:35 PM,14,SILWERBEEK CRESCENT,VREDEKLOOF,Fire manually extinguished,,10 - 15 Deg,Light Breeze,,"THE FIRE WAS EXTINGUISHED PRIOR ARRIVAL OF THE BRIGADE
",,,,,,,,,,,MR JOHANNES,,North
30003670,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/15/2016 11:01:49 PM,,MLONJI STREET,PHILIPPI,Special Service,,,,,,,,,0,,,0,0,,,,,
30003671,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/15/2016 11:17:30 PM,81,SANDRIVIER SINGEL,LEIDEN,Special Service,,,,,METRO AMBULANCE 03 ON SCENE. ONE ADULT MALE PATIENT WAS LOADED. SERVICE OF BRIGADE WAS NOT REQUIRED.,,,,,,,,,,,,,East
30003672,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/15/2016 11:29:15 PM,,KLIPHEUWEL CRESCENT,GRAANENDAL,Special Service,,,,,,,,,,,,,,,,,,North
30003673,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/16/2016 12:52:27 AM,,ROELAND STREET,ZONNEBLOEM,Special Service,,,,,,,,,,,,,,,,,,West
30003674,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (GUNSHOT),10/16/2016 1:25:57 AM,,NEVILLE RILEY ROAD,VRYGROND,Special Service,,,,,,,,,,,,,,,,,,West
30003675,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/16/2016 2:05:17 AM,,,,Special Service,,,,,,,,,,,,,,,,,,East
30003676,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 2:56:14 AM,,304,CAPE FARMS - DISTRICT B,Special Service,,,,,,,,,,,entire vehicle damaged,0,"60,000",,,,,North
30003677,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 2:57:19 AM,,LAVIS DRIVE,MODDERDAM,Special Service,,,,,,,,,,,,,,,,,,East
30003678,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 3:19:36 AM,,N1 HIGHWAY,PAROW NORTH,Fire manually extinguished,,,,,,0 - 5 min,,625Kpa 13mm Nozzle,0,,,"40,000","80,000",,,,,North
30003679,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/16/2016 5:04:06 AM,47,DUMANI ROAD,DUNOON,Special Service - False Good Intent,,,,,,,,,,,,,,,,,,North
30003680,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/16/2016 6:29:32 AM,,WASHINGTON STREET,LANGA,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,"Residents attempted to extinguish fire with garden hose prior arrival of brigade.
I further report E30A crew as per below:
S.Riddle(officer), S.Berghoff, S.Tokota, D.Van Staden, N.Phillips.",0 - 5 min,,625Kpa 19mm Nozzle,0,,"Entire structure severe by fire, heat, smoke and water.","2,500","2,000",1,1,City of Cape Town,Details unobtainable,North
30003681,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/16/2016 6:52:09 AM,2,THAMBO STREET,WITSAND,Special Service,,,,,,,,,,,,,,,,,,North
30003682,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 1:06:03 AM,76,WELTEVREDEN ROAD,ROCKLANDS,Special Service,,,,,1 motor vehicle collided with fence and trees on grounds of cedar high school,,,,,,,0,0,,,,,East
30003683,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/16/2016 1:27:27 AM,,SELVEN STREET,NOMZAMO,Special Service,,,,,1 x colour code yellow adult male patient already treated and loaded by Metro ambulance 162 personnel.,,,,,,,,,,,,,East
30003684,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/16/2016 2:10:21 AM,23,SEA COTTAGE CRESCENT,MILNERTON,Special Service,,,,,"1 X ADULT MALE ASSAULTED, SUSTAINED LACERAION TO THE ABDOMINAL.",,,,,,,,,,,,,North
30003685,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/16/2016 4:49:20 AM,,UITKYK CRESCENT,VOORBRUG,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Fine,,10 - 15 min,,625Kpa 13mm Nozzle,0,,"Entire structure severe by fire, heat, smoke and water.","7,000","3,000",,,Mrs . J .Moul,,East
30003686,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/16/2016 5:14:38 AM,,MNANDI ROAD,KILLARNEY GARDENS,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Raining,extinguished by occupants with sand,,,,,,Wood and iron structure: small section of structure damaged by fire.,0,0,,,City of Cape Town,Luyanda Ndesi,North
30003687,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 6:20:41 AM,,STRAND ROAD,SANLAMHOF,Special Service,,,,,,,,,,,,0,0,,,,,North
30003688,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 6:52:28 AM,,N2,CAPE TOWN AIRPORT,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,East
30003689,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/16/2016 8:15:07 AM,,DISA PLACE ROAD,PHILIPPI,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Fine,,,,,,,"Wood & Iron Structure: entire structure and contents consisting of bed, bedding, personal effects etc. severe by fire, heat, smoke and water","5,000","5,000",1,1,Ntomboxolo Gulam,,East
30003690,OTHER FIRE,OTHER FIRE - MISCELLANEOUS FIRES,10/16/2016 10:12:12 AM,34,DUDUZILE NDWASHLANA STREET,SILWERTOWN,False Alarm - Good Intent,,,,,electrical pole fire burnt itself out,,,,,,,0,0,,,,,East
30003691,TRAUMA EMERGENCY - ENVIRONMENTAL,TRAUMA - ENVIRONMENTAL - BITES AND STINGS,10/16/2016 10:15:14 AM,121,ATLANTIC BEACH DRIVE,MELKBOSCH STRAND,Special Service,,,,,,,,,,,,,,,,,,North
30003692,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 6:57:02 AM,,,,Special Service,,,,,"PA traffic , Netcare ambulance  and towing services on scene.",,,,,,,,,,,,,East
30003693,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 7:08:29 AM,2,BERKLEY WAY,OBSERVATORY,Special Service,,,,,,,,,,,,,,,,,,North
30003694,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 7:44:21 AM,n 1 highway,VASCO STREET,MONTE VISTA,Special Service,,,,,,,,,,,,,,,,,,North
30003695,TRANSPORT FIRE,"TRANSPORT FIRE - CARS, MOTORCYCLE",10/16/2016 7:51:13 AM,25,BOSKLOOF ROAD,TAFELSIG,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,East
30003696,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 8:10:22 AM,,CHAPMANS PEAK DRIVE,CAPE FARMS - DISTRICT H,Special Service,,,,,"


CMR ambulance services on scene rendering medical assistance. brigade assisted and extricated one adult male who was trapped using jaws of life.
",,,,,,,,,,,,,West
30003697,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/16/2016 8:23:39 AM,,DE WAAL DRIVE,OBSERVATORY,Special Service,,,,,,,,,,,,,,,,,,West
30003698,MEDICAL EMERGENCY,MEDICAL - CARDIAC CHEST PAIN,10/16/2016 8:51:29 AM,,SPINE ROAD,ROCKLANDS,Special Service,,,,,Metro ambulance 61 on scene.,,,,,,,,,,,,,West
30003699,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/16/2016 9:24:53 AM,,VOORTREKKER ROAD,BELMONT PARK,Special Service,,,,,LAW ENFORCEMENT WAS ON SCENE.,,,,,,,,,,,,,North
30003700,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/16/2016 9:31:19 AM,18,MERLIN ROAD,EAGLE PARK,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,West
30003701,OTHER FIRE,OTHER FIRE - MISCELLANEOUS FIRES,10/16/2016 11:24:05 AM,,CALEDON STREET,TOWNSEND ESTATE,,,,,,,,,,,,,,,,,,,North
30003702,MEDICAL EMERGENCY,MEDICAL - PATIENT UNRESPONSIVE,10/16/2016 10:22:01 AM,,STATION ROAD,LAKESIDE,Special Service,,,,,S.A.P.S. ON SCENE,,,,,,,,,,,,,West
30003703,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 11:14:26 AM,,MEW DRIVE,MXOLISI PHETANI,Fire manually extinguished,,20 - 25 Deg,Moderate,Clear,,10 - 15 min,,625Kpa 13mm Nozzle,"2,000",,,,,,,CITY OF CAPE TOWN,,East
30003704,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 1:20:15 PM,25,FOREST BANK PLACE,THE CONIFERS,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Fine,none,,,,0,,,0,0,,,consolidated aone trade and invest7 (proprietary) limited,,East
30003705,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/16/2016 1:35:44 PM,,SPINE ROAD,STRANDFONTEIN,Special Service,,,,,"One male adult knocked down on roadway and injured.
Colour code green.
Metro amb 66 in attendance.",,,,,,,,,,,,,East
30003706,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 2:03:37 PM,,HERCULES ROAD,WOODLANDS,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,,0 - 5 min,,,600,,,0,0,,,City of Cape Town,,East
30003707,MEDICAL EMERGENCY,MEDICAL - OBSTETRIC COMPLAINT,10/16/2016 2:19:19 PM,,HOUT BAY MAIN ROAD,HOUT BAY,,,,,,,,,,,,,,,,,,,
30003708,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 2:35:17 PM,,DONEGAL AVENUE,CONNAUGHT,False Alarm - Malicious,,,,,FALSE ALRM MALACIOUS,,,,,,,,,,,,,East
30003709,TRANSPORT FIRE,"TRANSPORT FIRE - CARS, MOTORCYCLE",10/16/2016 2:41:40 PM,,VOORTREKKER ROAD,MAITLAND,Fire manually extinguished,,25 - 30 Deg,Light Breeze,Clear,,0 - 5 min,,625Kpa 13mm Nozzle,600,,"Volkswagen Polo GTI hatchback, parked in parking bay, registration unknown; entire vehicle and contents etc, severe by fire, heat, smoke and water.",0,"250,000",,,Unknown male,Unknown male,North
30003710,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 4:00:09 PM,,SNIP STREET,ROBINVALE,Fire manually extinguished,,15 - 20 Deg,Moderate,Fine,,,Bush Tanker,625Kpa 13mm Nozzle,"3,000",,,0,0,,,"No ownership details on Gis, Except for erf no. and LP key.",,North
30003711,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 4:16:24 PM,,MASSINGER ROAD,DIEPRIVER,False Alarm - Malicious,,,,,,,,,,,,,,,,,,West
30003712,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 11:32:36 AM,,N2,DRIFTSANDS,,,,,,,,,,,,,,,,,,,
30003713,MEDICAL EMERGENCY,MEDICAL - RESPIRATORY COMPLAINT,10/16/2016 11:47:33 AM,,NEW OTTERY ROAD,OTTERY,Special Service,,,,,,,,,,,,,,,,,,
30003714,MEDICAL EMERGENCY,MEDICAL - CARDIAC CHEST PAIN,10/16/2016 12:02:30 PM,2,REMBRANDT AVENUE,MARVINPARK,,,,,,,,,,,,,,,,,,,
30003715,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 2:13:19 PM,95,reygersdal road,PROTEA PARK,Fire manually extinguished,,15 - 20 Deg,Moderate,Fine,,,,,0,,,0,0,,,Department of transport and public works,,North
30003716,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 2:23:01 PM,,KILIMANJARO STREET,TAFELSIG,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,,,,,"1,200",,,0,0,,,Dept of Transport and Public Works,,East
30003717,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/16/2016 2:35:25 PM,,DURBAN ROAD,MOWBRAY,Special Service,,,,,Adult male knocked down by motor vehicle was removed to hospital by Metro ambulance prior arrival of brigade.,,,,0,,,,,,,,,West
30003718,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/16/2016 2:51:15 PM,,STEVE BIKO ROAD,HARARE,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,East
30003719,TRAUMA EMERGENCY - BURNS,TRAUMA - BURNS AND CORROSIVES,10/16/2016 6:56:13 PM,166,RING AVENUE,MARVINPARK,,,,,,,,,,,,,,,,,,,East
30003720,MEDICAL EMERGENCY,INSPECTION,10/16/2016 7:09:34 PM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,,,,,,,,,,,,,,
30003721,MEDICAL EMERGENCY,MEDICAL - PAIN (NON-CARDIAC),10/16/2016 7:30:25 PM,23,SEA COTTAGE CRESCENT,MILNERTON,Special Service,,,,,,,,,,,,,,,,,,
30003722,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 5:15:18 PM,,RIETVLEI ROAD,SAREPTA,Fire manually extinguished,,10 - 15 Deg,Moderate,Overcast,nil,,,,0,,,,,,,city of cape town,,East
30003723,TRANSPORT FIRE,"TRANSPORT FIRE - CARS, MOTORCYCLE",10/16/2016 5:42:56 PM,,PYRENEES STREET,TAFELSIG,Fire manually extinguished,,,,,Owners extinguished with sand and water.,,,,,,,0,"5,000",,,,,East
30003724,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/16/2016 6:04:56 PM,,MAIN ROAD,GLENCAIRN,Special Service,,,,,,,,,,,,,,,,,,West
30003725,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/16/2016 7:52:43 PM,,MAYEZANA ROAD,KLEINBEGIN,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Fine,The fire were extinguished by the owner and bystanders.,,,,,,,"10,000","10,000",1,,Nosiphiwo Zekani ID 8202120485085,,North
30003726,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/16/2016 9:17:42 PM,,THEKWANE ROAD,PHILIPPI,Special Service,,,,,Metro ambulance personnel on scene.,,,,,,,0,0,,,,,East
30003727,,,10/16/2016 9:55:58 PM,,MILTON ROAD,TOWNSEND ESTATE,,,,,,,,,,,,,,,,,,,North
30003728,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/17/2016 7:19:39 AM,1,JAN VAN RIEBEECK STREET,RUYTERWACHT,Special Service,,,,,"Female minor knocked down on roadway by motor vehicle , South African Police services
and traffic on scene.",,,,,,,,,,,,,North
30003729,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/17/2016 7:30:30 AM,,VOORTREKKER ROAD,PAROW,Special Service,,,,,,,,,,,,,,,,,,North
30003730,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/17/2016 7:31:14 AM,,CAMP GROUND ROAD,RONDEBOSCH,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,,,,,5,,,0,0,,,City of Cape Town,,West
30003731,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/17/2016 9:10:24 AM,17,BRISTLEDEN CLOSE,NORTHPINE,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,,0 - 5 min,,625Kpa 13mm Nozzle,0,,"Carport, roof sheeting and paint on house walls",0,"50,000",1,1,Mr Johannes Parson,,North
30003731,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/17/2016 9:10:24 AM,17,BRISTLEDEN CLOSE,NORTHPINE,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Clear,,,,,0,,"Carport, roof sheeting and paint on house walls",0,"50,000",1,1,Mr Johannes Parson,,North
30003732,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/16/2016 7:56:00 PM,,POTSDAM ROAD,THE STABLES,Special Service,,,,,"adult female doa,lying supine ,arms open ,hands semi open,r foot off pavement,one stab to lower l side,one stab to r of r breast ,sap and metro ambulance 20 on scene.",,,,0,,,,,,,,,North
30003733,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/16/2016 8:06:02 PM,111,HARMONY ROAD,VRYGROND,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,West
30003734,MEDICAL EMERGENCY,MEDICAL - UNABLE TO BREATHE,10/16/2016 9:07:50 PM,1,OLD STRANDFONTEIN ROAD,OTTERY,Special Service,,,,,,,,,,,,,,,,,,
30003735,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/16/2016 10:03:57 PM,,MEW DRIVE,BONGANI,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Fine,,5 - 10 min,,,0,,,"15,000","12,000",,,CITY OF CAPE TOWN,LUNGA,East
30003735,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/16/2016 10:03:57 PM,,MEW DRIVE,BONGANI,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Fine,,,,,0,,,"15,000","12,000",,,CITY OF CAPE TOWN,LUNGA,East
30003736,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/16/2016 10:05:52 PM,2,REMBRANDT AVENUE,MARVINPARK,Special Service,,,,,,,,,,,,,,,,,,East
30003737,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (GUNSHOT),10/16/2016 10:23:59 PM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,,,,,,,,,,,,,,
30003738,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/16/2016 11:19:29 PM,,VOORTREKKER ROAD,MAITLAND,Special Service,,,,,,,,,,,,,,,,,,North
30003739,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/17/2016 12:56:32 AM,,SYMPHONY DRIVE,DELFT 9,Fire manually extinguished,,10 - 15 Deg,Moderate,Fine,PEOPLE WERE USING WATER BUCKETS TO EXTINGUISH THE FIRE,25 - 30 min,,,0,,"THE ENTIRE STRUCTURES SEVERE BY FIRE,HEAT,SMOKE AND WATER","20,000","60,000",,,CITY OF CAPE TOWN,SEE REMAKS,East
30003739,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/17/2016 12:56:32 AM,,SYMPHONY DRIVE,DELFT 9,Fire manually extinguished,,10 - 15 Deg,Moderate,Fine,PEOPLE WERE USING WATER BUCKETS TO EXTINGUISH THE FIRE,,Water Tanker,,0,,"THE ENTIRE STRUCTURES SEVERE BY FIRE,HEAT,SMOKE AND WATER","20,000","60,000",,,CITY OF CAPE TOWN,SEE REMAKS,East
30003739,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/17/2016 12:56:32 AM,,SYMPHONY DRIVE,DELFT 9,Fire manually extinguished,,10 - 15 Deg,Moderate,Fine,PEOPLE WERE USING WATER BUCKETS TO EXTINGUISH THE FIRE,,,,0,,"THE ENTIRE STRUCTURES SEVERE BY FIRE,HEAT,SMOKE AND WATER","20,000","60,000",,,CITY OF CAPE TOWN,SEE REMAKS,East
30003740,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/17/2016 1:37:28 AM,,POTSDAM ROAD,DUNOON,False Alarm - Good Intent,,,,,,,,,,,,,,,,,,North
30003741,OTHER FIRE,OTHER FIRE - MISCELLANEOUS FIRES,10/17/2016 3:49:29 AM,8,BALVENIE AVENUE,ELNOR,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Clear,,,,,,,"1 x Electrical box severe by fire, heat, smoke and sand.",0,0,,,City of Cape Town,,North
30003742,MEDICAL EMERGENCY,MEDICAL - UNABLE TO BREATHE,10/17/2016 3:52:43 AM,2,BUREN LANE,BELHAR EXT 13,Special Service,,,,,,,,,,,,,,,,,,East
30003743,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/17/2016 6:41:15 AM,,KROMBOOM 1054,MOWBRAY,,,,,,,,,,,,,,,,,,,
30003744,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/17/2016 6:43:03 AM,32,KROMBOOM PARKWAY,ATHLONE,Special Service,,,,,Three motor vehicles collided. Adult female color code green removed from motor vehicle before arrival of brigade.Patient sustained lacerations to right arm. C-spine compromised. SAPS and traffic on scene.,,,,0,,,0,0,,,,,West
30003745,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/17/2016 6:58:58 AM,,DUINEFONTEIN ROAD,,Fire manually extinguished,,Over 30 Deg,Light Breeze,Fine,,5 - 10 min,,625Kpa 13mm Nozzle,"1,200",,,0,0,,,City of Cape Town,,East
30003746,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/17/2016 7:32:27 AM,,BOFORS AVENUE,EPPING INDUSTRIA 2,Special Service,,,,,,,,,,,,,,,,,,North
30003747,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/17/2016 7:40:29 AM,,MYNHARDT STREET,GANTS PARK,,,,,,,,,,,,,,,,,,,
30003748,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/17/2016 9:39:18 AM,,POKELA ROAD,SUNNYDALE,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,"Fourteen Wood and Iron Structure alight on two separate enclosed ground. Bystanders endeavouring to extinguish fire by garden hose and buckets of water, water reserved from nearby property Erf Number 1464.",25 - 30 min,Street Hydrant,625Kpa 19mm Nozzle,0,,"Entire Wood and Iron structures destroyed by fire, heat and smoke, One formal dwelling with exposure from fire and heat resulted in the integrity of the structure being compromised.","80,000","150,000",,, Pasile Cynthia Gaca,Edgar,West
