 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1603/0815,Commercial,Offices,1603,03/11/2016,06:08|06:09|06:09|06:09,"13|Direct 107""|Direct ""107"" call|D""",Smoke Issuing From Building,26,,DORP STREET,PANORAMA,TYGERBERG,25,BV/42,,,WARD 01 ( SC 3 ),F=GWD,00:48|00:18|00:14|00:34,Fire - manually extinguished,Commercial|Offices,Overcast,Light Breeze,10 - 15 Deg,Papers,Minor Structural Fire,"Fire Out Prior Arrival, Burnt Itself Out",Inpsect Roof,Thermal Imaging Camera,Arson,Pending Saps Investigation,,,,,"Entire Building: Slight Smoke Damage|Kitchen: Slight Smoke Damage, Fire Damage On Table And Inside Cupboard Next To Window",,,,,,,,,,,,,,1,1,,,North,Goodwood|Bellville|Epping,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521484329
F1601/0747,Commercial,Offices,1601,01/07/2016,19:52|19:53|19:53|19:53,"13|Direct 107""|Direct ""107"" call|D""",Building Alight,"6,",,EDISON WAY,CENTURY CITY,MILNERTON,57,BV/34,,,WARD 4 ( SC 1 ),F=MIL,00:18|00:26|00:27|00:36,Fire - manually extinguished,Commercial|Offices,Overcast,Light Breeze,20 - 25 Deg,"Flourescent Lighting, Etc.",Minor Structural Fire,Occupants Extinguished Fire,Rendered Area Safe,Nil,Electrical Faults,"Short Circuiting Electrical Wiring Igniting Insulation, Etc.",,,MP,,"Building: Office On First Floor: Ceiling And Floor Severe By Fire, Heat, Smoke And Water. Contents: Office Equipment Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,1,,,,North,Milnerton,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515446195
F1603/1899,Commercial,Offices,1603,03/24/2016,17:18|17:20|17:20|17:20,"13|Direct 107""|Direct ""107"" call|D""",Building Alight,,,JAN SMUTS DRIVE,LANSDOWNE,SOUTH PENINSULA,65/66,"CK/34,35",,Oliver Tambo,,F=OTY,00:50|00:25|00:46,False Alarm - Good Intent,Commercial|Offices,,,,,False Alarm,,Nil.,Nil.,,False Alarm With Good Intent Due To Same Incident As Ottery Fire Call.,,,,,,,,,,,,,,,,,,,,,,,West,Salt River|Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1603/1965,Commercial,Offices,1603,03/25/2016,12:12|12:14|12:14|12:14,11|Telephone direct|Telephone|T,Smoke Issuing From Building,Irvine And Johnson,,SOUTH ARM ROAD,DOCKS,CAPE TOWN,34,BY/24,,,,F=RDS,00:22|00:19|00:25|00:15,False Alarm - Good Intent,N/A,,,,,False Alarm,,,,N/A,False Alarm With Good Intent Intent Due To Fumigation Mistaken For A Building Alight.,,,,,,,,,,,,,,,,,,,,,,,West,Roeland Street,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523018330
F1603/2220,Commercial,Offices,1603,03/28/2016,23:23|23:27|23:27|23:27,"13|Direct 107""|Direct ""107"" call|D""",Something Is Burning,,,CWANGCO CRESCENT,PHILIPPI,CAPE TOWN,CL/CM-43/44/45,68,,Eislebeen Road,,F=GTU,00:29|00:34|00:32,Fire - manually extinguished,Commercial|Offices,Fine,Light Breeze,10 - 15 Deg,Electrical Insulation,Minor Structural Fire,Security Personnel Extinguished Fire Prior Arrival Of Brigade,Ensured Area Is Safe,Nil,Electrical Faults,Electrical Kettle Left On Causing Short Circuit In Electrical Wiring Igniting Insulation,,,,,"Building:kitchen Front Office Ground Floor:ceiling, Walls, Doors And Kitchen Cupboards Slight By Fire, Heat, Smoke And Dry Powder Extinguisher Remainder Of Office Slight By Smoke Only|Contents:kitchen Cupboards Table Top Slight By Fire, Heat And Smoke",,,,,,,,,,,,,,1,,,,East,Guguletu|Mitchells Plain,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522468996
F1603/2229,Commercial,Offices,1603,03/29/2016,05:15|05:16|05:16|05:16,11|Telephone direct|Telephone|T,Building Alight,S.P.T,,SOUTH ARM ROAD,DOCKS,CAPE TOWN,34,BY/24,,,,F=RDS,00:58|00:36|00:52|00:20,Fire - manually extinguished,Storage|Warehouses,Fine,Light Breeze,10 - 15 Deg,Wiring In Flood Light Circuit Box.,Minor Structural Fire,Building's Roof Flood Lights Electrical Current Was Switch Of By Manager On Duty. [ Mr A.Katel ].,Check If Area Was Safe And That All Electrical Current Was Switched Off.,Nil.,Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation In Curcuit Box.,,,,,,,,,,,,,,,,,,,,,,,West,Roeland Street|Salt River,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522692101
F1601/1184,Commercial,Other,1601,01/11/2016,12:10|12:11|12:11|12:11,11|Telephone direct|Telephone|T,Grass Alight,,,MODDERDAM ROAD ( ROBERT SOBUKWE )( M10 ),BELLVILLE,TYGERBERG,,,,Caledon Way,,F=BVL,02:18|02:27|02:12|00:42|02:04|01:57|02:06,Fire - manually extinguished,Commercial|Garages & Workshops,Clear,Moderate,Over 30 Deg,"Vegetation, 1 X Truck, 1 X Boat, 1 X Trailer, 1 X Building And Contents",Minor Structural Fire,Occupants Attempt To Ext Fire Using Garden Hoses And Extinguishers,Ext Fire Using 5 X Jets And 3 X Hosereels,Hoses,Other,"Vegetation Burning Set Truck, Trailer And Building Alight",10000,,MP|WT|PH,01:26:00 AM,,,,,,,,,,,,,,,1,,,,North,Bellville|Goodwood|Epping|Kraaifontein|Milnerton,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518531457
F1601/0145,Commercial,Other,1601,01/01/2016,20:35|20:37|20:37|20:37,"13|Direct 107""|Direct ""107"" call|D""",Building Alight,Liebenberg Car Dealership,,VOORTREKKER ROAD,GOODWOOD,TYGERBERG,86(14TH EDITION),"BY,BZ/40-42",,,,F=BVL,00:54|00:20|00:24,False Alarm - Good Intent,Commercial|Garages & Workshops,,,,,False Alarm,Switched Of The Electrical Plug To The Area And Isolating The Area.,Nil,Nil,Electrical Faults,False Alarm Electrical Due To Wires Arcing.,,,,,Nil,,,,,,,,,,,,,,1,,,,North,Epping|Goodwood|Bellville,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515333289
F1601/1654,Commercial,Other,1601,01/15/2016,18:17|18:18|18:18|18:18,11|Telephone direct|Telephone|T,Building Alight,Tokyo Drift,,VOORTREKKER ROAD,GOODWOOD,TYGERBERG,29,"BZ/38,39",,,,F=GWD,00:21|00:17|00:30,Fire - automatically extinguished,Commercial|Shops,Clear,Light Breeze,25 - 30 Deg,Rubbish,Rubbish Fire,,Assessed For Scene Safety.,1 X Short Extension Ladder.,Smoking,Residents Dropped Cigarette Butt.,,,,,Small Quantity Of Rubbish Burned.,,,,,,,,,,,,,,1,,,,North,Epping|Goodwood|Bellville,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516129958
F1601/2695,Commercial,Other,1601,01/26/2016,20:54|20:55|20:55|20:56,11|Telephone direct|Telephone|T,Building Alight,"227,",,MAIN ROAD,CLAREMONT,SOUTH PENINSULA,64,CJ/29,,Bath Road,,F=WBG,00:44|01:09|00:51,Fire - manually extinguished,Commercial|Shops,Clear,Nil,15 - 20 Deg,Linen,Minor Structural Fire,Extinguished By Occupants With Dry Powder Extinguishers.,Ventilated And Made Area Safe.,1 X Ppv,Heating,Tumble Dryer Left Switched On Overheating And Igniting Linen Etc.,,,,,"Building: Laundromat On Ground Floor: Slight By Heat, Smoke And Dry Powder Only.|Contents: Contents Consisting Of A Large Tumble Dryer Severe By Fire, Heat, Smoke And Dry Powder.",,,,,,,,,,,,,,,,,,West,Wynberg|Salt River,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517092279
F1602/0467,Commercial,Other,1602,02/06/2016,07:13|07:14|07:14|07:14,11|Telephone direct|Telephone|T,Smoke Issuing From Building,,,TAURUS,BRACKENFELL,OOSTENBERG,63,BV / 57,,Teejay,WARD 6 ( SC 2 ),F=BFL,01:22|00:19|00:15,False Alarm - Good Intent,N/A,,,,,,,,,N/A,False Alarm Good Intent Due To A Steam From Concrete Beams Being Mistaken For A Building Alight,,,,,,,,,,,,,,,,,,,1,,,,North,Brackenfell,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518163479
F1602/0513,Commercial,Other,1602,02/06/2016,17:03|17:05|17:05|17:05,11|Telephone direct|Telephone|T,Smoke Issuing From The Building,GEORGE ANGUS PROPERTY TRUST,,TAURUS,BRACKENFELL,OOSTENBERG,63,BV / 57,,TEE JAY,WARD 6 ( SC 2 ),F=BFL,00:38|00:17|00:17,Fire - manually extinguished,"Other|Rubbish, Grass & Bush",Fine,Light Breeze,20 - 25 Deg,Rubbish,Rubbish Fire,,Extinguished With One Fog Jet From E05 Motor Pump.,1 X Hose Reel,Undetermined,Unknown,1800,,MP,12:15:00 AM,Small Quantity Of Rubbish Burned.,,,,,,,,,,,,,,,1,,,North,Brackenfell|Bellville,Category 2|Rubbish,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518035535
F1602/2075,Commercial,Other,1602,02/25/2016,09:49|09:50|09:50|09:50,11|Telephone direct|Telephone|T,Smoke Issuing,,,VANGUARD DRIVE ( JAKES GERWEL DRIVE ) | M . 7,EPPING 1,CAPE TOWN,29,CB/38,,BOFORS,,F=EPG,00:07|00:16|00:09|00:09,False Alarm - Good Intent,Commercial|Offices,Fine,Light Breeze,20 - 25 Deg,Nil.,False Alarm,Film Crew Was Busy Testing Wind Machines Using Artificial Dust Causing Big Plume Of Dust Around Building.,Nil.,Nil.,N/A,Nil.,,,,,Nil.,,,,,,,,,,,,,,,,,,North,Epping|Goodwood|Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520359704
F1602/2421,Commercial,Other,1602,02/28/2016,17:16|17:17|17:17|17:17,"13|Direct 107""|Direct ""107"" call|D""",Building Alight,ROCKLANDS SPORTS COMPLEX,,WELTEVREDEN ROAD,ROCKLANDS / MITCHELLS PLAIN,CAPE TOWN,107,CT/44:45:46,,CARAVELLE ROAD,,F=MPN,00:28|00:27|00:41,Fire - manually extinguished,"Other|Rubbish, Grass & Bush",Fine,Light Breeze,20 - 25 Deg,Rubbish,Rubbish Fire,,Extinguished With One Fog Jet(300l),One Fog Jet,Open Flames,Vagrants Igniting Rubbish,300,,MP,12:03:00 AM,Area Of Ruvbbish Burnt,,,,,,,,,,,,,,,1,,,East,Mitchells Plain,"Category 2|Bush, Grass, Vegetation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519978285
F1603/0910,Commercial,Other,1603,03/12/2016,08:58|08:59|08:59|08:59,"13|Direct 107""|Direct ""107"" call|D""",Derelict Building Alight,,,BEACH ROAD,WOODSTOCK,CAPE TOWN,82(14TH EDITION),CA/26,,CHURCH,,F=SLR,00:53|00:34|00:45,Fire - manually extinguished,Other|Miscellaneous Fires,Fine,Nil,15 - 20 Deg,Rubbish,Rubbish Fire,,Extinguished Fire With 1 Fog Jet From E25,1 Fog Jet,Open Flames,Passer By Dropping Alight,1800,,MP,12:15:00 AM,,,,,,,,,,,,,,,1,,,,West,Roeland Street|Salt River,"Category 2|Bush, Grass, Vegetation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521904950
F1603/1429,Commercial,Other,1603,03/18/2016,08:33|08:34|08:34|08:34,"13|Direct 107""|Direct ""107"" call|D""",Building Alight,,,ALBERT ROAD,SALT RIVER,CAPE TOWN,83(14TH & 15TH ED),CB/28,,Salt River Circle,,F=SLR,01:24|00:24|01:22|01:25,Fire - manually extinguished,"Other|Rubbish, Grass & Bush",Overcast,Light Breeze,15 - 20 Deg,Rubbish,Rubbish Fire,,Extinguished With One Jet From E14 Motor Pump,,Smoking,Smoking Material Igniting Rubbish,8000,,MP|SH,12:30:00 AM,A Large Quantity Of Rubbish Burned,,,,,,,,,,,,,,,1,,,West,Wynberg|Brooklyn,"Category 2|Bush, Grass, Vegetation",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521898204
F1603/1499,Commercial,Other,1603,03/19/2016,05:05|05:07|05:07|05:07,11|Telephone direct|Telephone|T,Smoke Issuing,Cash Crusaders,,Victoria Road,WOODSTOCK,CAPE TOWN,82(14TH EDITION),CB/26,,,,F=SLR,01:00|00:37|01:01,False Alarm - Good Intent,N/A,,,,,False Alarm,,,,N/A,False Alarm Electrical Due To Fire Prevention System Being Actuated,,,,,,,,,,,,,,,,,,,,1,,,West,Salt River|Roeland Street,Category 2|Faulty Automatic Alarm,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1603/1916,Commercial,Other,1603,03/24/2016,20:48|20:50|20:50|20:50,11|Telephone direct|Telephone|T,Store Alight,SHELL SERVICE STATION,,BENBOW AVENUE,EPPING 1,CAPE TOWN,29,CB/37,,GUNNERS CIRCLE,,F=EPG,00:29|00:11|00:13,Fire - manually extinguished,Commercial|Shops,Clear,Nil,15 - 20 Deg,Wooden Pellets,Rubbish Fire,Fire Was Extinguished Prior Arrival Of Brigade With Buckets Of Water,Ensure Fire Was Out,Nil,Smoking,Disgarded Cigatette Bud,0,,,,Wooden Crate And Few Pellets Slightly Damaged By Fire,,,,,,,,,,,,,,,,,,North,Goodwood|Belhar|Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522102506
F1601/1241,Commercial,Restaurant/Cafe,1601,01/11/2016,21:11|21:12|21:12|21:12,11|Telephone direct|Telephone|T,Chip Fryer Alight,Manna Epicure,,KLOOF STREET,GARDENS,CAPE TOWN,25,CB/22,,,,F=RDS,00:16|00:03|00:17,Fire - manually extinguished,Commercial|Restaurants & Cafes,,,,,False Alarm,,,,Cooking,False Alarm With Good Intent Due To Overheated Cooking Oil Being Mistaken For A Chip Fryer Alight.,,,,,,,,,,,,,,,,,,,,,,,West,Roeland Street,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516916623
F1601/1592,Commercial,Restaurant/Cafe,1601,01/15/2016,11:46|11:48|11:48|11:48,11|Telephone direct|Telephone|T,Restaurant Alight,Wembley Square,Knead Restaurant.,McKENZIE STREET,GARDENS,CAPE TOWN,34,CB/23,,,,F=RDS,00:50|00:47|00:49|01:07,Fire - manually extinguished,Commercial|Restaurants & Cafes,Fine,Moderate,25 - 30 Deg,A Small Quantity Of Coffee Powder And Soot.,Minor Structural Fire,Extinguished By Restaurant Staff With 1 X Co2 And 1 X Dry Chemical Powder Extinguisher Before Arrival Of Brigade.,Made Area Safe By Opening Up Coffee Roster And Inspection Holes Of Extractor Duckting To Cool Down Hot Sections Of Soot And Coffee Powder.,"1 X Internal Hose Reel, 1 X Private Step Ladder And 1 X Thermal Image Camera.",Heating,A Small Quantity Of Coffee Powder Heated And Igniting.,,,,,"Restaurant:- A Small Quantity Of Water And Dry Chemical Powder On Floor.|Contents:- A Small Quantity Of Coffee Powder Severe By Heat, Smoke And Water, And Some Dry Chemical Powder On Some Food Stuff.",,,,,,,,,,,,,,,1,,,West,Roeland Street|Sea Point,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516295709
F1601/1971,Commercial,Restaurant/Cafe,1601,01/18/2016,15:06|15:07|15:07|15:07,11|Telephone direct|Telephone|T,House Alight,Berties Moorings Restaurant,,BREAKWATER LANE,GORDONS BAY,HELDERBERG,125 ( 179 - 14TH EDITION ),DD/76,,,,F=SND,01:25|02:25|01:29|01:10,Fire - manually extinguished,Commercial|Restaurants & Cafes,Clear,Nil,Over 30 Deg,"Kitchen Appliances, Kitchen Utensils, Stoves, Electrical Appliances, Fridges, Tables, Oil Chip Fryer, Electrical Wiring, Ceilings, Walls, Cooker Hood Duct And Chimney, Etc.",Major Structural Fire,Staff Tried To Extinguish Fire With Dcp And Co2 Fire Extinguishers As Well As Hosereel.,Brigade Extinguished Fire With 2 X Jets From E40(2000).,"3 X 65mm Firehoses, 2 X 45mm Firehoses, 2 X Angus Branches, 5 X B.A.Sets, 1 X Ceiling Hook, 1 X P.P.V.",Cooking,Cooking Oil In Chip Fryer Overheated And Was Ignited By Electrical Short On Plug Next To Chip Fryer.,2000,,MP,12:26:00 AM,"Entire Kitchen Area And All Contents Consisting Of Electrical Appliances, Kitchen Appliances, Furniture And Fittings, Etc. Severe By Fire, Heat, Smoke And Water.","Garage Area At Rear Slight By Fire, Smoke And Water.",,No,,,,,,,,,,,,1,,,East,Strand|Somerset West,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517052563
F1601/2596,Commercial,Restaurant/Cafe,1601,01/25/2016,06:38|06:39|06:39|06:39,11|Telephone direct|Telephone|T,Fire In Restaurant,Ocean Basket - Harbour Island,,GORDONS BAY ROAD,STRAND,HELDERBERG,,,,,,F=SND,00:28|00:27|00:22|00:15,Fire - manually extinguished,Commercial|Shops,Overcast,Nil,10 - 15 Deg,Insulation In Electrical Wiring.,Minor Structural Fire,,Extinguished With One Fog Jet From E40 Motor Pump (600 Litres).,1 X Hose Reel.,Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation.,600,,MP,12:05:00 AM,One Neon Signage At Front Of The Building Burned.,,,,,,,,,,,,,,,,,,East,Strand|Somerset West,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517404897
F1601/2926,Commercial,Restaurant/Cafe,1601,01/29/2016,20:33|20:34|20:34|20:34,"13|Direct 107""|Direct ""107"" call|D""",Fiesheries Alight,Friday Fisheries,,MAIN ROAD,CLAREMONT,SOUTH PENINSULA,64,CJ/29,,Grove Street,,F=WBG,00:56|01:37|01:06,Fire - manually extinguished,Commercial|Shops,Clear,Nil,15 - 20 Deg,Oil Etc.,Minor Structural Fire,,Extinguished With 1 Fog Jet From Echo16 Motor Pump.,One Hose Reel,Heating,Electrical Fryer Left Switched On Overheating And Igniting.,3500,,MP|SH,12:40:00 AM,"Building: Shop At Front : Roof Beams, Ceiling, Walls , Windows And Floor Severe By Fire, Heat, Smoke And Water.|Contents: Contents Consisting Of Electrical Fish Fryers Ect Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,,1,,,West,Wynberg|Salt River|Roeland Street,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517351670
F1601/2937,Commercial,Restaurant/Cafe,1601,01/29/2016,23:24|23:25|23:25|23:25,11|Telephone direct|Telephone|T,Shop Alight,Mcd Cafe,,LINK AVENUE,MACASSAR,HELDERBERG,149(14TH EDITION),CR/63 - CS/64,,,,F=MCR,00:29|00:00|00:17|00:10,Fire - manually extinguished,Commercial|Restaurants & Cafes,Fine,Nil,15 - 20 Deg,"Chip Freyer , Utensils , Etc",Minor Structural Fire,Owner And Members Of The Public Busy Extinghuised Fire With Internal Hose Reel,Brigade Ventilate By Opening The Windows,"1 X Ladder , Torch And Thermal Image Camera",Cooking,Cooking Devices Left Unattended,,,,,"Building : Isolation , Ceilings, Walls, Floor, Front Door :contents : Chip Freyer, Utensils, Fridge Severe By Fire, Smoke , Heat And Water Damaged...",,,,,,,,,,,,,,,,,,East,Macassar|Khayelitsha|Bellville,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517513740
F1602/0219,Commercial,Restaurant/Cafe,1602,02/03/2016,13:20|13:23|13:23|13:23,"13|Direct 107""|Direct ""107"" call|D""",Steers Alight,Steers,,VAN RIEBEECK ROAD (R102),KUILSRIVIER,OOSTENBERG,,,,,,F=KLR,01:09|01:09|01:15|00:00|00:26|00:28,Fire - manually extinguished,Commercial|Restaurants & Cafes,Overcast,Moderate,20 - 25 Deg,The Hot Oil In A Chip Fryer Caught Alight Then The Fire Spread To The Ducting Of The Extraction Fans And The Insulation In The Froof Void.,Minor Structural Fire,Personel Working By Steers Tried To Extinguish The Fire With And Extinguisher And A Asbestos Blanket,Extinguished The Fire With Water From Echo 15,2 X Fog Jets In Use 1 From Echo 15 And 1 From Echo 26,Cooking,Cooking Oil Was Too Hot,1500,,MP|MP,12:26:00 AM,"The Chip Fryer, The Extraction Vents And Fans, Tiles, Ceilings And Insulation Was Damaged By The Fire.The One Large Fridge Was Also Damaged By The Fire.",Ceilings Were Damaged By The Fire,There Was Laminated Flooring In The Entrance Hall Which Had Got Water Logged.,The Extraction Fan Was Ripped From The Roof,,,,,,,,,,,1,,,,East,Kuilsrivier|Bellville,Category 2|Commercial (Low Risk),,Nil,Nil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519892131
F1603/1027,Commercial,Restaurant/Cafe,1603,03/13/2016,08:54|08:57|08:57|08:57,11|Telephone direct|Telephone|T,Shop Alight,MITCHELLS PLAIN PROMENADE,Zebros,A.Z. BERMAN DRIVE,MITCHELLS PLAIN,CAPE TOWN,91,CP/47,,MORGENSTER ROAD,,F=MPN,00:30|00:18|00:03|00:21,Fire - manually extinguished,Commercial|Shops,Overcast,Light Breeze,15 - 20 Deg,Filters Above Coal And Wood Fire,Minor Structural Fire,Extinguished By Occupants With Dcp Extinguisher And Buckets Of Water Before Arrival Of Brigade,Nil,Nil,Cooking,Heat From Coal And Wood Fire Igniting Filters,,,,,"Kitchen At Rear Of Zebros: Filters And Conduits Slight By Fire, Heat, Smoke, Dcp And Water. Reaminder Of Kitchen Area Slight By Smoke, Water And Dcp",,,,,,,,,,,,,,,,,,East,Mitchells Plain|Guguletu,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521110036
F1601/1385,Commercial,Shop,1601,01/13/2016,12:51|12:52|12:52|12:52,11|Telephone direct|Telephone|T,Shop Alight,"579,",,VOORTREKKER ROAD,KENSINGTON,CAPE TOWN,84(14TH EDITION),"CA/33,34",,10th Avenue,,F=EPG,00:48|00:36|00:25,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,15 - 20 Deg,Light Fitting,Minor Structural Fire,The Fire Was Extinguished By Switching The Electricity Off.,Investigated And Made Area Safe,Camera,Electrical Faults,Suspected Electrical Wiring In Light Fitting Shorting And Igniting Insulation,,,,,"Office: Ceiling:light Fitting Severed By Fire, Heat, Smoke And Water.Remainder Slight By Smoke Only.Remainder Off The Building Slight By Smoke Only.",,,,,,,,,,,,,,,,,,North,Brackenfell|Milnerton|Sea Point,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522758152
